gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
Q0020,3,5,0,2,3,2
Q0045,1,0,2,0,0,2
Q0050,3,3,0,1,1,4
Q0055,0,2,0,0,0,2
Q0060,0,0,0,0,0,0
Q0065,0,0,0,0,0,0
Q0070,0,0,0,0,0,0
Q0075,0,0,0,0,0,0
Q0080,0,0,0,0,0,0
Q0085,0,1,0,1,5,0
Q0105,0,1,2,0,0,0
Q0110,0,0,0,0,0,0
Q0115,0,0,0,0,0,0
Q0120,0,0,0,0,0,0
Q0130,0,0,0,0,0,0
Q0140,0,0,0,0,0,0
Q0158,11,6,3,5,5,23
Q0160,0,1,0,1,0,0
Q0250,0,0,2,0,0,0
Q0255,0,0,0,0,0,0
Q0275,0,0,0,0,0,0
Q0285,0,0,0,0,0,0
tA(UGC)Q,0,0,0,0,0,0
tC(GCA)Q,0,0,0,0,0,0
tD(GUC)Q,0,0,0,0,0,0
tE(UUC)Q,0,0,0,0,0,0
tF(GAA)Q,0,0,0,0,0,0
tG(UCC)Q,0,0,0,0,0,0
tH(GUG)Q,0,0,0,0,0,0
tI(GAU)Q,0,0,0,0,0,0
tK(UUU)Q,0,0,0,0,0,0
tL(UAA)Q,0,0,0,0,0,0
tM(CAU)Q1,0,0,0,0,0,0
tM(CAU)Q2,0,0,0,0,0,0
tN(GUU)Q,0,0,0,0,0,0
tP(UGG)Q,0,0,0,0,0,0
tQ(UUG)Q,0,0,0,0,0,0
tR(ACG)Q2,0,0,0,0,0,0
tR(UCU)Q1,0,0,0,0,0,0
tS(GCU)Q1,0,0,0,0,0,0
tS(UGA)Q2,0,0,0,0,0,0
tT(UAG)Q2,0,0,0,0,0,0
tT(UGU)Q1,0,0,0,0,0,0
tV(UAC)Q,0,0,0,0,0,0
tW(UCA)Q,0,0,0,0,0,0
tY(GUA)Q,0,0,0,0,0,0
YAL001C,728,607,712,1274,1108,983
YAL002W,514,440,443,596,526,524
YAL003W,20715,20090,20354,23577,20832,19880
YAL005C,6388,5582,6064,11510,9700,8955
YAL007C,1021,980,999,1076,1003,989
YAL008W,430,439,456,541,501,467
YAL009W,597,513,575,630,619,634
YAL010C,422,399,425,439,434,361
YAL011W,444,479,544,609,497,540
YAL012W,3191,3517,3270,4514,3861,3743
YAL013W,1140,1315,1190,1544,1355,1534
YAL014C,834,799,816,943,915,912
YAL015C,473,394,486,522,455,476
YAL016W,2542,2419,2639,2963,2601,2552
YAL017W,697,632,680,894,655,641
YAL018C,4,0,3,4,8,7
YAL019W,1409,1389,1426,1686,1538,1507
YAL020C,889,916,889,1089,922,1189
YAL021C,1908,1827,1874,2135,1879,1907
YAL022C,1215,1073,1219,1301,1144,1200
YAL023C,5028,4959,5073,5599,4880,5004
YAL024C,332,313,334,409,333,290
YAL025C,2875,2697,3002,2891,3051,2744
YAL026C,1078,1021,1089,1258,1089,1031
YAL027W,229,161,250,205,194,179
YAL028W,160,168,175,220,185,182
YAL029C,1768,1554,1689,2078,1697,1617
YAL030W,295,278,342,328,288,288
YAL031C,564,458,498,583,488,507
YAL032C,424,374,459,544,407,466
YAL033W,406,343,390,371,321,374
YAL034C,263,243,280,265,240,247
YAL034W-A,158,146,180,182,152,157
YAL035W,7427,6778,7509,8451,7432,7412
YAL036C,2347,2099,2467,2522,2347,2399
YAL037C-A,0,0,0,0,0,0
YAL037W,70,43,69,78,59,53
YAL038W,90728,88173,85101,103174,89323,87645
YAL039C,1128,1190,1210,1604,1420,1756
YAL040C,1058,930,960,1325,1155,1003
YAL041W,1180,1101,1150,1318,1123,1076
YAL042W,5835,5407,5748,6372,5297,5891
YAL043C,1137,1174,1230,1368,1193,1214
YAL044C,2164,1805,2331,1991,2021,1851
YAL044W-A,233,224,251,235,246,224
YAL046C,223,220,229,275,264,202
YAL047C,341,346,398,422,303,354
YAL048C,331,295,287,372,341,342
YAL049C,518,506,565,601,516,623
YAL051W,741,713,802,951,737,758
YAL053W,3466,3038,3581,4216,3687,3134
YAL054C,282,259,241,348,301,304
YAL055W,298,258,316,296,302,317
YAL056W,1350,1142,1357,1437,1190,1248
YAL058W,676,597,698,634,581,652
YAL059W,1257,1158,1317,1319,1193,1116
YAL060W,1155,1004,1267,1496,1306,1196
YAL061W,403,318,446,505,378,493
YAL062W,354,345,391,510,439,526
YAL063C,395,353,392,412,311,344
YAL063C-A,1,2,5,8,3,0
YAL064C-A,5,10,13,13,10,10
YAL064W,0,0,0,0,0,0
YAL064W-B,5,8,5,7,3,6
YAL065C,8,12,7,1,5,6
YAL067C,48,33,49,141,129,118
YAL067W-A,0,0,0,0,0,0
YAL068C,0,0,1,0,0,0
YAR002C-A,2293,2046,2025,2565,2289,2182
YAR002W,1500,1383,1492,1712,1436,1515
YAR003W,543,527,604,694,660,520
YAR007C,1243,1037,1166,1542,1283,1239
YAR008W,421,386,472,425,396,387
YAR009C,1811,1523,2001,2504,1824,1688
YAR010C,157,360,30,165,216,135
YAR014C,1869,1589,1868,2006,1905,1856
YAR015W,7213,6754,7336,7587,7083,6313
YAR018C,505,443,487,616,567,425
YAR019C,372,324,376,444,407,336
YAR020C,0,0,1,0,0,0
YAR023C,70,61,89,80,93,79
YAR027W,837,673,796,813,808,710
YAR028W,369,355,392,384,368,326
YAR029W,0,0,3,4,2,0
YAR031W,252,226,274,279,282,244
YAR033W,227,190,219,202,179,210
YAR035C-A,0,0,0,0,0,0
YAR035W,101,109,108,108,96,123
YAR042W,1133,1123,1042,1515,1316,1290
YAR050W,184,182,208,26,15,13
YAR061W,68,77,130,7,9,8
YAR064W,3,4,4,0,0,0
YAR066W,32,25,33,0,0,0
YAR068W,174,162,177,149,117,90
