,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YNCL0010C,3895.18073941906,2.53713773876266,0.0817095854102754,31.050674483579,1.11718852358688e-211,3.31078818964971e-208
YNCL0020C,3895.18073941906,2.53713773876266,0.0817095854102754,31.050674483579,1.11718852358688e-211,3.31078818964971e-208
YGR289C,601.251028436907,2.75598549423566,0.115519872024158,23.8572415805595,8.5173507454056e-126,1.68274459560063e-122
YHR216W,3770.22756240168,-11.5143663068261,0.51340776295325,-22.4273319137064,2.130351207393e-111,3.15664790155457e-108
YOL155C,914.130425244553,-1.60768899449658,0.0824408655244696,-19.5011173678107,1.07409980083673e-84,1.27323790391186e-81
YNCL0003W,499.311049247517,1.57330385317019,0.106279287626942,14.8034851220752,1.39085321924947e-49,1.3739311717486e-46
YLR466W,2004.12050247019,-12.0179367411804,0.835689658723091,-14.3808609042062,6.82403783506387e-47,5.77801032120337e-44
YJL116C,507.664223355086,1.46582343299716,0.102307059001827,14.3276861567391,1.46935051212678e-46,1.08860506067192e-43
YOR389W,125.049734507011,-5.7677917782754,0.418729109368368,-13.7745182965087,3.62794862140722e-43,2.38920571989784e-40
YAR050W,107.215401602771,-3.50913385981876,0.257156741690978,-13.6458948606358,2.13575568958069e-42,1.26586239721447e-39
YIL173W,911.713908158136,1.47205471756103,0.10912050444888,13.4901751508183,1.78675577555306e-41,9.62736498336635e-39
YIR042C,154.81997885951,-2.40770916422485,0.183507001767442,-13.1205302306455,2.51171403820089e-39,1.24057742536805e-36
YNCB0010W,2443.55806057544,0.99163505358035,0.078294745019992,12.6654100901298,9.19386504581488e-37,4.19169524050345e-34
YKL001C,314.280525136565,-1.56693296436119,0.131729073012381,-11.8951187352082,1.25474443595369e-32,5.31205019421253e-30
YJL225C,1463.71796050839,-14.0049664095106,1.17984184229737,-11.8702065882325,1.69049666524185e-32,6.67971582325897e-30
YNL339C,1157.55299712941,-13.6663537358816,1.18149684971033,-11.5669827974846,6.05755910530595e-31,2.24394705107177e-28
YML133C,1046.37789987537,-13.5204864275898,1.18038639789151,-11.4542885717263,2.23793156232151e-30,7.8024825705174e-28
YDR545W,1034.85874882488,-13.5055294883541,1.1810743567255,-11.4349527711345,2.79688857990038e-30,8.28857930653476e-28
YLR467W,1034.85874882488,-13.5055294883541,1.1810743567255,-11.4349527711345,2.79688857990038e-30,8.28857930653476e-28
YOR396W,1034.85874882488,-13.5055294883541,1.1810743567255,-11.4349527711345,2.79688857990038e-30,8.28857930653476e-28
YGR295C,998.826818548266,-11.5984625585934,1.02281496849541,-11.3397465972316,8.33855607724219e-30,2.35345818427688e-27
YHR211W,111.308383663319,-6.83463540574243,0.610300492727713,-11.1988036830764,4.13276553939758e-29,1.11340460690952e-26
YOR001W,1475.01197229335,-0.779005306645135,0.0698076658380962,-11.159308899568,6.44909454659463e-29,1.66190362511593e-26
YIL066C,281.518015795891,1.45537567397432,0.130559734859802,11.1472015130633,7.38939060235872e-29,1.8248715875075e-26
